TalentID,YandexID,user_id_wave1,user_id_wave2
560592,1450390501,120371235,None
627276,1880225642,120371745,None
555570,1090500813,120379620,None
273753,2024743433,120407502,None
534851,616208931,120427273,None
600680,1627685465,120436858,None
488052,1558028250,120468371,None
590412,2025665011,120469660,121431423
506069,1091412822,120470994,None
598002,1699455845,120495628,None
238430,1776225753,120505180,None
395644,1894869528,120505906,None
260703,1061609437,120513716,None
507469,132339280,120518205,None
542097,2028285724,120525235,None
31616,1034829677,120527462,None
488670,1862047876,120527524,None
602928,1665749484,120534528,None
603416,1069866503,120535270,121408122
516166,1050937304,120540140,None
28770,1876576002,120557924,None
595497,1170067033,120560350,None
627748,1726068065,120455878,None
629604,890189783,120361849,None
384858,1890510325,120542858,None
649002,1747453549,120562195,None
629597,895440285,120477632,None
596252,1014713264,120515859,None
629594,2026496797,120553996,None
611580,2027639075,120546224,None
384437,1005337385,120504956,121373052
473500,1897271243,120509400,None
561717,1153382031,120469476,121445317
394124,738246109,120354881,None
596490,811989508,120552007,121405928
508894,1062486069,120546325,None
600168,1740132241,120512552,None
139193,1215225187,120559701,None
268731,1941527538,120508062,None
636723,1518546348,120453361,None
620037,1721686022,120492676,None
503587,1715842468,120543900,None
609941,2023188021,120503152,121447427
595877,1742483404,120460323,None
611569,1906479042,120542680,None
299747,1486716801,120547233,None
515992,2013127616,120527814,121326079
595366,950702372,120540669,121289361
628586,2027607287,120453944,None
645863,1948852076,120476285,None
503079,977435438,120326577,None
278883,398781676,120551315,None
515294,5376537,120480653,None
604246,1961055030,120453326,None
628973,566696572,120554601,None
636787,1978408975,120453235,None
591379,1737781586,120335417,None
603721,1197329996,120418459,121416180
495100,1904366301,120551727,121442034
602460,1226446159,120484270,None
556864,1164359071,120455480,None
495002,1780036508,120472837,121362366
612682,289619976,120535072,None
440318,1561607868,120503694,121350002
494886,303081843,120485889,121346697
613494,1256153496,120523672,None
596499,1586680842,120558431,121390528
266830,1474162613,120482875,None
271405,1908379033,120551641,121419591
478853,551092647,120490250,None
632089,1464178490,120514819,None
647632,1971854851,120513691,None
560948,1185373700,120516733,None
600791,1911848406,120480078,121357219
274142,1455017461,120350211,121362159
634356,1657329838,120462603,121427402
139737,1972479904,120552703,None
246022,1718911903,120510060,None
615776,1277446964,120468651,None
623179,1462535712,120457423,None
619827,1982926922,120352525,None
497997,1985179531,120552518,None
645996,20795079,120529953,None
569428,1420460975,120541375,121429877
511243,244443651,120492784,121365115
611535,1739831241,120540989,None
602455,1793747369,120469574,121433647
583707,1740342668,120463258,None
590650,1462090396,120502467,121444173
47180,48196914,120512509,None
613352,2012117392,120460163,121370337
596496,2028237351,120560005,121403257
610680,1715249814,120530999,None
503001,1890609697,120532279,None
613331,1643463368,120460142,121414036
247377,1968517578,120552682,None
247802,1060783354,120542679,None
516589,1542551726,120562579,None
386957,989158750,120532248,None
608544,2011814460,120350320,None
628316,2021803515,120554852,None
630991,641172557,120477507,None
637483,38350647,120478247,121418359
645016,949025688,120458198,None
552095,1669341601,120546584,None
168535,228376053,120537507,None
598347,1733570860,120326461,121336196
394046,1999123099,120541362,None
636706,917609440,120453112,None
392633,885073888,120484273,None
613296,1735604275,120492820,None
613065,887111048,120552522,None
241680,602331362,120469454,121445315
471840,1232089667,120531605,None
647639,1871248186,120551276,None
524709,1673607118,120547191,None
563543,1111739823,120489499,None
602215,2028113417,120525855,None
511097,1705060712,120326157,None
619636,1717322088,120551969,None
577450,1975111212,120485395,None
255572,962391677,120412504,None
600391,1072297610,120410350,None
553637,937027027,120457523,None
270878,1772762461,120508209,None
250072,1254459361,120534302,None
308564,1069529529,120544477,121380909
278435,1161511208,120407242,121399083
615338,818637677,120373925,None
606366,1306852948,120560296,None
616208,1947643266,120497161,None
505425,1012890269,120519113,None
648262,1601176933,120541356,121399337
628297,1495020558,120547243,None
399916,1952374026,120371740,None
554381,1491117305,120453570,121433718
239026,1461536974,120505284,121373409
500981,1708727454,120558106,121424977
604348,1614379755,120551081,121356606
612629,1992039294,120541495,None
513764,1485976796,120501189,None
194872,2030426130,120562711,None
536257,1708208038,120484069,None
490777,1657375241,120495607,None
631404,813951684,120484066,None
131541,1456208396,120435661,None
620825,1108202880,120557476,None
