task_id,user_id_1,user_id_2,submission_id_1,submission_id_2,overlap_percentage
E,nto-24-542-117330452,nto-24-367-117330276,109502687,109493157,70.03367003367003
E,nto-24-542-117330452,nto-24-503-117330413,109502687,109493629,73.68421052631578
E,nto-24-542-117330452,nto-24-507-117330417,109502687,109495861,74.56445993031359
E,nto-24-542-117330452,nto-24-507-117330417,109502687,109496129,74.48275862068967
E,nto-24-542-117330452,nto-24-367-117330276,109502952,109493157,70.27027027027027
E,nto-24-542-117330452,nto-24-503-117330413,109502952,109493629,73.26732673267327
E,nto-24-542-117330452,nto-24-489-117330399,109502952,109491853,70.80745341614907
E,nto-24-542-117330452,nto-24-507-117330417,109502952,109495861,72.72727272727273
E,nto-24-542-117330452,nto-24-507-117330417,109502952,109496129,72.66435986159169
E,nto-24-542-117330452,nto-24-367-117330276,109502355,109493157,70.03367003367003
E,nto-24-542-117330452,nto-24-503-117330413,109502355,109493629,73.68421052631578
E,nto-24-542-117330452,nto-24-507-117330417,109502355,109495861,74.56445993031359
E,nto-24-542-117330452,nto-24-507-117330417,109502355,109496129,74.48275862068967
E,nto-24-436-117330345,nto-24-453-117330362,109492566,109492505,70.10309278350515
E,nto-24-351-117330259,nto-24-507-117330417,109492972,109495861,70.50847457627118
E,nto-24-351-117330259,nto-24-507-117330417,109492972,109496129,70.46979865771812
E,nto-24-530-117330440,nto-24-389-117330298,109495554,109492341,73.11827956989248
E,nto-24-530-117330440,nto-24-507-117330417,109495554,109495861,74.63768115942028
E,nto-24-530-117330440,nto-24-507-117330417,109495554,109496129,74.55197132616487
E,nto-24-530-117330440,nto-24-525-117330435,109495554,109505677,71.83098591549296
E,nto-24-389-117330298,nto-24-449-117330358,109492341,109493832,70.30716723549489
E,nto-24-389-117330298,nto-24-507-117330417,109492341,109495861,73.11827956989248
E,nto-24-389-117330298,nto-24-507-117330417,109492341,109496129,72.3404255319149
E,nto-24-389-117330298,nto-24-502-117330412,109492341,109491560,71.37809187279152
E,nto-24-389-117330298,nto-24-502-117330412,109492341,109491739,70.6713780918728
E,nto-24-453-117330362,nto-24-488-117330398,109492505,109500069,70.46979865771812
E,nto-24-453-117330362,nto-24-507-117330417,109492505,109495861,70.71428571428572
E,nto-24-453-117330362,nto-24-507-117330417,109492505,109496129,70.6713780918728
E,nto-24-507-117330417,nto-24-375-117330284,109495861,109500005,71.47766323024055
E,nto-24-507-117330417,nto-24-525-117330435,109495861,109505567,79.72972972972973
E,nto-24-507-117330417,nto-24-525-117330435,109495861,109505212,72.90322580645162
E,nto-24-507-117330417,nto-24-525-117330435,109495861,109505677,84.50704225352112
E,nto-24-507-117330417,nto-24-502-117330412,109495861,109494604,70.74829931972789
